gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.008G251300	5.563E+00	2.215E+01	1.367E+01	7.697E+01	1.917E+01	2.749E+01	4.487E+01	1.465E+01	3.572E+01	2.572E+01	3.180E+01
Phvul.008G251400	9.539E-01	4.376E-02	0.000E+00	4.613E-02	0.000E+00	3.639E-02	5.288E-02	8.069E-02	0.000E+00	0.000E+00	0.000E+00
Phvul.008G251500	2.477E+00	1.000E+01	5.965E-01	7.292E+01	6.421E+00	1.438E+00	2.771E+00	6.592E+00	8.060E-01	1.613E-01	1.320E+00
Phvul.008G251600	7.642E-02	0.000E+00	1.019E-01	2.330E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G251700	7.073E-01	7.435E-01	1.203E+00	1.474E+00	4.851E-01	5.934E-01	7.797E-01	9.284E-01	8.922E-01	6.340E-01	6.266E-01
Phvul.008G251800	1.352E+00	1.142E+00	1.324E+00	1.114E+00	1.717E+00	3.181E+00	2.659E+00	1.269E+00	1.569E+00	1.150E+00	2.017E+00
Phvul.008G251900	2.855E+01	1.489E+01	1.017E+01	2.601E+01	1.594E+01	9.705E+00	1.342E+01	1.646E+01	2.723E+01	1.512E+01	1.425E+01
Phvul.008G252000	0.000E+00	1.720E+00	2.802E+00	4.281E+00	1.280E+02	1.778E+01	6.969E+01	1.715E+02	1.053E+00	2.310E+00	1.490E+02
Phvul.008G252100	1.907E-01	3.438E-01	3.748E-01	5.513E-01	4.004E-01	6.646E-01	1.196E+00	5.213E-01	1.652E+00	1.008E-01	5.337E-01
Phvul.008G252200	3.763E+01	3.900E+01	2.714E+01	5.655E+01	3.527E+01	2.761E+01	4.073E+01	4.629E+01	6.583E+01	2.607E+01	2.931E+01
Phvul.008G252300	0.000E+00	2.319E-02	6.379E-02	2.456E-02	0.000E+00	1.995E-02	2.821E-02	2.607E-02	1.320E-02	4.170E-02	0.000E+00
